preset,ISL,OSL,concurrency,median_e2e_ms,total_tok_s,total_tok_s_gpu,median_ttft_ms,median_tpot_ms
diag-1k,1024,1024,4,7415.5,957.0,478.5,118.6,8.0
diag-1k,1024,1024,8,9222.9,1580.2,790.1,121.4,9.8
diag-1k,1024,1024,16,13244.6,2470.6,1235.3,125.9,12.8
diag-1k,1024,1024,32,16626.4,3561.3,1780.7,137.4,17.6
diag-1k,1024,1024,64,23922.4,5038.2,2519.1,137.0,25.2
diag-1k,1024,1024,128,33678.6,6840.3,3420.2,203.0,37.5
diag-1k,1024,1024,256,,,,,
canonical-8k,8192,1024,4,8584.4,3772.2,1886.1,372.6,8.8
canonical-8k,8192,1024,8,11006.0,5939.7,2969.8,377.2,11.4
canonical-8k,8192,1024,16,15023.2,8567.6,4283.8,380.8,16.0
canonical-8k,8192,1024,32,24241.7,10691.7,5345.9,468.3,25.3
canonical-8k,8192,1024,64,38581.7,13822.5,6911.3,523.5,41.1
canonical-8k,8192,1024,128,61862.7,17290.7,8645.3,633.3,66.4
canonical-8k,8192,1024,256,,,,,
